 fecha,evangelio,mensaje,tiempo_liturgico
2026-01-31,"¿Por qué tienen miedo? ¿Aún no tienen fe? (Mc 4,40)",El miedo y la fe no pueden ocupar el mismo espacio al mismo tiempo.¿Qué tormenta de tu vida estás enfrentando sin invitar a Jesús a la barca?Habla hoy con él sobre la tormenta que más te quita el sueño.,Tiempo Ordinario III
2026-02-01,"Nadie es aceptado en su propia tierra. (Lc 4,24)",Los más cercanos suelen ser los últimos en reconocer lo extraordinario.¿Estás desestimando el valor de alguien solo porque lo conoces demasiado?Da hoy un reconocimiento sincero a alguien de tu círculo cercano.,IV Domingo del Tiempo Ordinario
2026-02-02,"Mis ojos han visto tu salvación. (Lc 2,30)",Hay personas que esperan décadas para ver cumplida una promesa. Y la ven.¿Cuánto tiempo llevas esperando algo de Dios que ya podrías estar viendo?Abre los ojos hoy. La promesa puede ya estar frente a ti.,Presentación del Señor
2026-02-03,"No temas. Solo cree. (Mc 5,36)",Entre la mala noticia y el milagro Jesús dice: sigue creyendo.¿Qué noticia difícil reciente ha estado ahogando tu fe?Pronuncia hoy una declaración de confianza a pesar de lo que ves.,Tiempo Ordinario IV
2026-02-04,"No pudo hacer ningún milagro allí. (Mc 6,5)",La incredulidad de los demás puede limitar lo que Dios obra en un lugar.¿Tu entorno te impulsa a creer más o te arrastra a dudar de todo?Rodéate hoy de al menos una persona que sume fe no que reste.,Tiempo Ordinario IV
2026-02-05,"No lleven nada para el camino. (Mc 6,8)",La misión ligera llega más lejos que la misión cargada de recursos.¿De qué seguridades materiales dependes demasiado para dar el siguiente paso?Sal hoy a hacer algo con menos de lo que crees necesitar.,Tiempo Ordinario IV
2026-02-06,"Herodes lo mandó decapitar en la cárcel. (Mc 6,27)",Decir la verdad tiene un costo. Pero callarla tiene uno mayor.¿Qué verdad importante estás callando por temor a las consecuencias?Di hoy una verdad difícil con respeto y sin rodeos innecesarios.,Tiempo Ordinario IV
2026-02-07,"Tenía compasión de ellos porque eran como ovejas sin pastor. (Mc 6,34)",La compasión de Jesús no fue lástima. Fue acción.¿Sientes compasión pero no haces nada con ella?Convierte hoy una emoción de compasión en un gesto concreto.,Tiempo Ordinario IV
2026-02-08,"No temas, desde ahora serás pescador de hombres. (Lc 5,10)",El llamado de Dios llega cuando ya has fallado y lo sabes.¿Estás esperando tener éxito propio antes de seguirlo a él?Responde hoy al llamado desde donde estás no desde donde quisieras estar.,V Domingo del Tiempo Ordinario
2026-02-09,"Todos los que lo tocaban quedaban curados. (Mc 6,56)",Hay personas cuya sola presencia sana. Puedes ser una de ellas.¿Qué llevas tú: presencia que cura o energía que agota a los demás?Ofrece hoy presencia real a alguien que la necesita. Sin distracciones.,Tiempo Ordinario V
2026-02-10,"Este pueblo me honra con los labios, pero su corazón está lejos de mí. (Mc 7,6)",La religiosidad sin conversión es teatro. Y Dios no paga entrada.¿Cuánto de tu práctica religiosa es hábito vacío y cuánto es encuentro real?Elige hoy una práctica espiritual que sea genuina no performativa.,Tiempo Ordinario V
2026-02-11,"Lo que sale del corazón contamina al hombre. (Mc 7,20)",El problema no es el mundo afuera. El problema suele ser adentro.¿De dónde vienen las palabras y acciones que más daño hacen a los demás?Trabaja hoy sobre una actitud interior antes de señalar algo externo.,Tiempo Ordinario V
2026-02-12,"Déjame que primero se sacien los hijos. (Mc 7,27)",A veces Dios pone obstáculos para ver si sigues pidiendo o te rindes.¿Cuándo fue la última vez que insististe en la oración sin rendirte?Vuelve hoy a una petición que abandonaste. No desistas todavía.,Tiempo Ordinario V
2026-02-13,"Se le abrieron los oídos y se le soltó la lengua. (Mc 7,35)",Antes de hablar hay que aprender a escuchar. En ese orden.¿Cuánto tiempo dedicas a escuchar a Dios frente a cuánto le hablas?Invierte el balance hoy: escucha más habla menos.,Tiempo Ordinario V
2026-02-14,"Siento compasión de esta gente. (Mc 8,2)",Jesús nunca ignoró el hambre real de las personas. Nunca.¿Estás tan ocupado con lo espiritual que ignoras las necesidades materiales de quienes tienes cerca?Atiende hoy una necesidad concreta: alimento abrigo compañía.,Tiempo Ordinario V
2026-02-15,"Bienaventurados los pobres. Ay de ustedes, los ricos. (Lc 6,20.24)",Dios no premia la comodidad. Premia la dependencia consciente de él.¿Cuánta de tu seguridad viene de lo que tienes y cuánta de quien eres?Reduce hoy voluntariamente algo. No como penitencia sino como libertad.,VI Domingo del Tiempo Ordinario
2026-02-16,"¿Por qué esta generación pide una señal? (Mc 8,12)",Exigir señales antes de creer es otra forma de no querer creer.¿Cuántas señales has recibido ya que sigues ignorando?Reconoce hoy una señal de Dios que has estado descartando como coincidencia.,Tiempo Ordinario VI
2026-02-17,"¿Todavía no comprenden ni recuerdan? (Mc 8,18)",La memoria espiritual es un músculo. Se atrofia si no se ejercita.¿Con qué frecuencia recuerdas lo que Dios ya ha hecho en tu vida?Escribe hoy tres cosas concretas que Dios ha hecho por ti. No lo olvides.,Tiempo Ordinario VI
2026-02-18,"Tu Padre, que ve en lo secreto te recompensará. (Mt 6,6)",Lo que haces sin audiencia revela quién eres de verdad.¿Cuánto de tu vida espiritual vive solo en público?Haz hoy algo bueno que nadie vea. Ni lo cuentes.,Miércoles de Ceniza
2026-02-19,"¿De qué le sirve al hombre ganar el mundo entero si se pierde a sí mismo? (Lc 9,25)",El peor fracaso no es perder lo que tienes. Es perderte a ti mismo.¿En qué estás invirtiendo tu vida y hacia dónde te está llevando?Evalúa hoy si lo que persigues te acerca o aleja de quien quieres ser.,Cuaresma
2026-02-20,"Llegará el día en que el novio les será quitado. (Mt 9,15)",La fe también tiene temporadas de ausencia. No te alarmes por ellas.¿Estás en un tiempo de sequía espiritual y no sabes cómo nombrarlo?Nombra hoy esa sequía ante Dios. El primer paso es ser honesto sobre ella.,Cuaresma
2026-02-21,"He venido a llamar no a los justos sino a los pecadores al arrepentimiento. (Lc 5,32)",Jesús fue a cenar con los que todos evitaban. Eso dice todo.¿A quién estás evitando que Jesús no evitaría?Haz espacio hoy para alguien que está en los márgenes de tu mundo.,Cuaresma
2026-02-22,"No solo de pan vive el hombre. (Lc 4,4)",Hay hambre que ningún logro material puede saciar.¿Qué hambre espiritual estás tratando de calmar con cosas que no nutren?Identifica ese hambre real y busca hoy alimentarla con lo que sí nutre.,Cuaresma
2026-02-23,"Lo que hicieron con el más pequeño de mis hermanos, conmigo lo hicieron. (Mt 25,40)",Dios no está escondido en el cielo. Está disfrazado de necesidad.¿Cuándo fue la última vez que viste a Dios en un rostro humano concreto?Mira hoy a los ojos a alguien que normalmente invisibilizas.,Cuaresma I
2026-02-24,"Perdona nuestras ofensas como nosotros perdonamos a los que nos ofenden. (Mt 6,12)",Cada vez que rezas el Padrenuestro pides ser tratado como tú tratas.¿A quién no has perdonado que tú le pedirías a Dios que te perdonara?Da hoy un paso hacia el perdón aunque sea pequeño e imperfecto.,Cuaresma I
2026-02-25,"La reina del Sur vino de los confines de la tierra para escuchar la sabiduría de Salomón. (Lc 11,31)",Hay personas que buscan la verdad desde lejos. Y otros que la tienen cerca y no la valoran.¿Estás desperdiciando el acceso que tienes a Dios por costumbre?Trata hoy tu fe como si la acabaras de descubrir por primera vez.,Cuaresma I
2026-02-26,"Pidan y se les dará. (Mt 7,7)",La oración no es un formulario. Es una conversación con alguien que ya quiere darte.¿Pides con fe o solo cumples el trámite de pedir?Pide hoy algo específico con confianza real sin hedgearlo con dudas.,Cuaresma I
2026-02-27,"Reconcíliate primero con tu hermano. (Mt 5,24)",No puedes adorar a Dios con una deuda relacional sin resolver.¿Con quién tienes una cuenta pendiente que estás posponiendo?Inicia hoy esa reconciliación. Un mensaje una llamada lo que sea.,Cuaresma I
2026-02-28,"Amen a sus enemigos y oren por los que los persiguen. (Mt 5,44)",Amar al que ya te ama no tiene mérito. El desafío real es el otro.¿Hay alguien que te ha lastimado por quien nunca has orado?Ora hoy por esa persona. No tienes que sentirlo para empezar.,Cuaresma I
2026-03-01,"Este es mi Hijo, mi escogido. Escúchenlo. (Lc 9,35)",Dios mismo nos dice: escúchalo. No lo interpretes. Escúchalo.¿Cuánto tiempo dedicas a escuchar la Palabra frente a hablar de ella?Lee hoy un pasaje del Evangelio despacio. Sin prisa. Sin buscar nada.,II Domingo de Cuaresma
2026-03-02,"Sean misericordiosos como su Padre es misericordioso. (Lc 6,36)",La misericordia no es debilidad. Es el estilo de Dios aplicado a la vida real.¿Eres más rápido para juzgar que para comprender?Antes de juzgar a alguien hoy pregunta qué historia carga que no conoces.,Cuaresma II
2026-03-03,"El mayor entre ustedes será su servidor. (Mt 23,11)",El poder al servicio de sí mismo corrompe. El poder al servicio de otros transforma.¿Para qué usas la influencia o el talento que tienes?Pon hoy tu capacidad al servicio de alguien que no puede devolverte nada.,Cuaresma II
2026-03-04,"El que quiera ser grande entre ustedes, que sea su servidor. (Mt 20,26)",En el reino la grandeza se mide al revés de como el mundo la mide.¿Estás buscando ser reconocido o buscando ser útil?Sirve hoy sin que nadie lo sepa. Sin foto. Sin mención.,Cuaresma II
2026-03-05,"Entre nosotros y ustedes hay un gran abismo. (Lc 16,26)",Hay decisiones que tomadas en vida se vuelven permanentes.¿Qué decisión importante sigues postergando como si tuvieras todo el tiempo del mundo?Decide hoy algo que llevas aplazando demasiado.,Cuaresma II
2026-03-06,"La piedra que desecharon los constructores se convirtió en piedra angular. (Mt 21,42)",Lo que el mundo descarta Dios lo pone como fundamento.¿Qué o a quién has descartado que podría ser precisamente lo que te falta?Reconsideraré hoy algo o a alguien que descarté demasiado rápido.,Cuaresma II
2026-03-07,"Cuando aún estaba lejos, su padre lo vio y corrió a su encuentro. (Lc 15,20)",Dios no espera que llegues limpio. Corre hacia ti cuando todavía estás en camino.¿Sientes que tienes que arreglarte antes de volver a él?Vuelve hoy tal como estás. Sin preparación previa.,Cuaresma II
2026-03-08,"Si no se convierten, todos perecerán. (Lc 13,3)",La conversión no es un evento religioso. Es cambiar la dirección de tu vida.¿Hay algo en tu vida que sabes que necesita cambiar y sigues esperando?Da hoy un paso concreto de conversión. Uno. Concreto.,III Domingo de Cuaresma
2026-03-09,"Jesús pasó por en medio de ellos y se marchó. (Lc 4,30)",Cuando rechazas la verdad la verdad no muere. Tú te quedas solo.¿Cuántas veces has rechazado algo de Dios porque incomodaba tu zona de confort?Identifica hoy una verdad del Evangelio que te molesta y pregúntate por qué.,Cuaresma III
2026-03-10,"¿Cuántas veces debo perdonar? Hasta setenta veces siete. (Mt 18,22)",El perdón no es un sentimiento. Es una decisión que se renueva.¿Hay alguien a quien has 'perdonado' pero sigues cargando con resentimiento?Elige hoy volver a perdonar. Aunque sea la décima vez.,Cuaresma III
2026-03-11,"No vine a abolir la ley sino a darle plenitud. (Mt 5,17)",La ley sin amor es rigor vacío. El amor sin ley es sentimentalismo.¿Entiendes la ley de Dios como límite o como camino hacia la vida plena?Cumple hoy un mandamiento no por obligación sino porque entiendes su sentido.,Cuaresma III
2026-03-12,"El que no está conmigo, está contra mí. (Lc 11,23)",No hay posición neutral frente al Evangelio. Siempre hay una elección.¿Hay áreas de tu vida donde estás evitando tomar partido?Define hoy tu postura sobre algo importante. La ambigüedad también es una decisión.,Cuaresma III
2026-03-13,"Amarás al Señor tu Dios con todo tu corazón y a tu prójimo como a ti mismo. (Mc 12,30-31)",Todo lo demás es comentario de estos dos mandamientos.¿Estás cumpliendo muchos mandatos secundarios mientras descuidas estos dos?Elige hoy un acto concreto de amor a Dios y uno a una persona cercana.,Cuaresma III
2026-03-14,"El publicano, de lejos no se atrevía a levantar los ojos al cielo. (Lc 18,13)",La humildad que se ve a sí misma pequeña ante Dios es la que más lo conmueve.¿Rezas como el fariseo que enumera logros o como el publicano que reconoce su necesidad?Ora hoy sin listar lo que has hecho. Solo con lo que eres.,Cuaresma III
2026-03-15,"Todo lo mío es tuyo. (Lc 15,31)",El hijo mayor nunca se fue pero tampoco entró a la fiesta. La obediencia sin amor también pierde.¿Cumples externamente pero tu corazón está lejos de la fiesta de Dios?Celebra hoy algo bueno que Dios haya hecho aunque no lo hayas pedido tú.,IV Domingo de Cuaresma
2026-03-16,"Anda, tu hijo vive. (Jn 4,50)",A veces la sanación llega cuando ya no estás presente para verla. Y tienes que creer.¿Confías en Dios solo cuando ves los resultados o también cuando tienes que creer sin ver?Ora hoy por alguien lejos de ti confiando sin necesitar comprobación inmediata.,Cuaresma IV
2026-03-17,"¿Quieres curarte? (Jn 5,6)",Jesús pregunta antes de sanar. Porque no todos quieren realmente cambiar.¿Quieres de verdad cambiar eso que dices querer cambiar?Responde con honestidad: ¿estás dispuesto al proceso que implica la sanación?,Cuaresma IV
2026-03-18,"El Hijo no puede hacer nada por su cuenta. (Jn 5,19)",Hasta Jesús actuaba en dependencia del Padre. ¿Y tú?¿Cuánto de lo que haces lo haces desde tu propia fuerza sin consultarle?Pide hoy dirección antes de actuar en algo importante.,Cuaresma IV
2026-03-19,"No temas tomar a María como esposa. (Mt 1,20)",La obediencia de José cambió la historia sin que él dijera una sola palabra en los Evangelios.¿Cuánto valor das al silencio obediente frente a la notoriedad?Actúa hoy con fidelidad en algo que nadie notará pero que importa.,San José Esposo de la Virgen María
2026-03-20,"¿De este no sabemos de dónde viene? (Jn 7,27)",El origen conocido suele ser el mayor obstáculo para reconocer lo extraordinario.¿A quién estás subestimando porque crees conocerlo demasiado?Mira hoy con ojos nuevos a alguien que das por sabido.,Cuaresma IV
2026-03-21,"¿Acaso puede salir algo bueno de Galilea? (Jn 7,52)",Los prejuicios teológicos también cierran puertas.¿Cuántas veces rechazas algo de Dios porque no viene del canal que esperabas?Abre hoy a recibir algo de Dios desde donde no lo esperabas.,Cuaresma IV
2026-03-22,"El que esté sin pecado que tire la primera piedra. (Jn 8,7)",La condena sin misericordia dice más del que condena que del condenado.¿Cuántas piedras llevas en la mano listas para lanzar?Suelta hoy el juicio que tienes sobre alguien. No es tuyo cargarlo.,V Domingo de Cuaresma
2026-03-23,"Yo soy la luz del mundo. (Jn 8,12)",La oscuridad no lucha contra la luz. Simplemente desaparece cuando ella llega.¿Qué oscuridad en tu vida has estado protegiendo en lugar de dejar que la luz entre?Abre hoy esa área oscura a la presencia de Jesús. Sin más rodeos.,Cuaresma V
2026-03-24,"Cuando levanten al Hijo del hombre, entonces sabrán. (Jn 8,28)",Hay cosas que solo se entienden desde la cruz. No antes.¿Qué está pasando en tu vida que todavía no entiendes pero que quizá solo se ve desde abajo?Confía hoy en lo que no comprendes. La comprensión llega después.,Cuaresma V
2026-03-25,"He aquí la esclava del Señor. Hágase en mí según tu palabra. (Lc 1,38)",El sí más pequeño puede cambiar la historia entera.¿Cuántas veces Dios ha esperado tu sí y tú has seguido pidiendo más garantías?Di hoy un sí donde llevas tiempo dando evasivas.,Anunciación del Señor
2026-03-26,"Antes que Abraham existiera, yo soy. (Jn 8,58)",Jesús no habla de historia. Habla de eternidad presente.¿Tratas a Jesús como a un personaje histórico o como a alguien vivo?Habla hoy con él como con alguien que está contigo ahora mismo.,Cuaresma V
2026-03-27,"¿Por cuál de esas obras me apedreas? (Jn 10,32)",El odio al bien no tiene argumentos. Solo tiene piedras.¿Cuándo fue la última vez que perseveraste en hacer el bien a pesar del rechazo?Continúa hoy en algo bueno aunque nadie lo agradezca.,Cuaresma V
2026-03-28,"Buscaban a Jesús. (Jn 11,56)",Hasta el miedo lo busca. Incluso sus enemigos querían encontrarlo.¿Qué calidad tiene tu búsqueda de Dios: genuina o condicionada?Busca hoy a Dios sin agenda. Sin lista de peticiones. Solo encuéntralo.,Cuaresma V
2026-03-29,"Padre perdónalos porque no saben lo que hacen. (Lc 23,34)",La última palabra de Jesús en la cruz no fue condena. Fue perdón.¿Aún esperas que quien te hizo daño reconozca su error para perdonarlo?Perdona hoy sin esperar que te pidan perdón.,Domingo de Ramos
2026-03-30,"Déjenla. Guardaba esto para el día de mi sepultura. (Jn 12,7)",No todo gesto de amor necesita ser comprendido por todos para ser válido.¿Has dejado de hacer algo hermoso por miedo a que no lo entiendan?Haz hoy un gesto de amor sin necesidad de que nadie lo entienda.,Semana Santa
2026-03-31,"¿Darás tu vida por mí? (Jn 13,38)",La lealtad declarada y la lealtad probada son dos cosas distintas.¿Cuánto de tu fe aguanta cuando nadie te está mirando o cuando cuesta algo real?Sé fiel hoy en algo pequeño que nadie nota. Es donde se forja el carácter.,Semana Santa
2026-04-01,"¿Acaso soy yo, Señor? (Mt 26,22)",Cada uno de los doce preguntó si era él el traidor. Eso dice algo de la honestidad.¿Tienes el valor de preguntarte si tú también podrías traicionar?Examina hoy con honestidad tus lealtades reales.,Semana Santa
2026-04-02,"Si yo el Señor les lavé los pies también ustedes deben lavarse los pies unos a otros. (Jn 13,14)",El servicio no es condescendencia. Es igualdad ejercida desde abajo.¿A quién nunca te bajarías a servir aunque Jesús lo hizo?Sirve hoy a alguien a quien normalmente no servirías.,Jueves Santo
2026-04-03,"Todo está cumplido. (Jn 19,30)",En la cruz no hay derrota. Hay plenitud.¿Dónde estás buscando cumplimiento que solo la entrega total puede dar?Permanece hoy un momento ante la cruz. Sin palabras. Solo presente.,Viernes Santo
2026-04-04,"¿Por qué buscan entre los muertos al que está vivo? (Lc 24,5)",El error más común en la fe: buscar a un Dios muerto en lugares donde ya no está.¿Estás viviendo una fe del pasado o un encuentro presente con el Resucitado?Busca hoy señales de vida no de muerte. Él no está donde lo dejaste.,Vigilia Pascual
2026-04-05,"Vio y creyó. (Jn 20,8)",A veces la fe no necesita explicación. Solo ver con los ojos abiertos.¿Cuánta evidencia de Dios en tu vida has pasado por alto?Cuenta hoy tres razones para creer que vienen de tu propia experiencia.,Domingo de Pascua
2026-04-06,"Jesús les salió al encuentro. (Mt 28,9)",El Resucitado no espera en el templo. Sale a buscar a los suyos.¿Estás esperando que Dios se te aparezca en un momento sagrado o lo buscas en tu camino ordinario?Sal hoy convencido de que lo encontrarás en el camino.,Octava de Pascua
2026-04-07,"María. (Jn 20,16)",Su nombre pronunciado por Jesús fue suficiente para transformar el llanto en gozo.¿Crees que Dios te conoce por nombre no por número?Escucha hoy tu nombre como si Dios te lo dijera.,Octava de Pascua
2026-04-08,"¿No ardía nuestro corazón mientras nos hablaba en el camino? (Lc 24,32)",Dios suele estar en los caminos donde menos lo esperamos caminando con nosotros.¿Has reconocido a Jesús en la compañía de alguien que caminó contigo en un momento difícil?Identifica hoy quién ha sido Jesús para ti sin saberlo.,Octava de Pascua
2026-04-09,"La paz sea con ustedes. (Lc 24,36)",La primera palabra del Resucitado no fue reproche. Fue paz.¿Cuánto reproche te das a ti mismo que Jesús nunca te daría?Recibe hoy su paz. Específicamente en el área donde más te condenas.,Octava de Pascua
2026-04-10,"Tiren la red al lado derecho. (Jn 21,6)",A veces estamos trabajando duro en el lado equivocado.¿Estás esforzándote en una dirección que no es la que Dios señala?Pregunta hoy si estás remando en la dirección correcta antes de remar más fuerte.,Octava de Pascua
2026-04-11,"Se les apareció y los reprendió por su incredulidad. (Mc 16,",Dios puede reprenderte por no creer y aun así enviarte a anunciar. Eso es gracia.¿Sientes que tu falta de fe te descalifica para servir?Sirve hoy desde tu fe imperfecta. No desde la perfecta que no tienes.,Octava de Pascua
2026-04-12,"Dichosos los que crean sin haber visto. (Jn 20,29)",La fe que no necesita prueba es la más libre de todas.¿Cuántas condiciones pones antes de creer?Cree hoy algo específico sin exigir evidencia adicional.,II Domingo de Pascua - Divina Misericordia
2026-04-13,"Si no renace uno de lo alto, no puede ver el reino de Dios. (Jn 3,3)",Nacer de nuevo no es una expresión metafórica. Es una transformación real.¿Cuándo fue la última vez que Dios cambió algo fundamental en ti?Abre hoy tu vida a una transformación en el área más resistente.,Tiempo Pascual II
2026-04-14,"El Espíritu sopla donde quiere. (Jn 3,8)",No puedes controlar dónde actúa el Espíritu. Solo puedes estar disponible.¿Estás exigiendo que Dios actúe según tus esquemas?Sé flexible hoy. Permite que el Espíritu te sorprenda fuera de tus planes.,Tiempo Pascual II
2026-04-15,"Dios amó tanto al mundo que entregó a su Hijo único. (Jn 3,16)",El amor de Dios no es sentimiento. Es entrega total.¿Cómo sería tu vida si creyeras de verdad que eres tan amado?Vive hoy desde la certeza de ese amor. No desde el miedo.,Tiempo Pascual II
